region_id,region_REG,region_CHEFLIEU,region_TNCC,region_NCC,region_NCCENR,region_LIBELLE,region_dateAdded,region_dateUpdated
1,01,97105,3,GUADELOUPE,Guadeloupe,Guadeloupe,2021-05-09 06:56:58,2021-05-09 06:56:58
2,02,97209,3,MARTINIQUE,Martinique,Martinique,2021-05-09 06:56:58,2021-05-09 06:56:58
3,03,97302,3,GUYANE,Guyane,Guyane,2021-05-09 06:56:58,2021-05-09 06:56:58
4,04,97411,0,LA REUNION,La Réunion,La Réunion,2021-05-09 06:56:58,2021-05-09 06:56:58
5,06,97608,0,MAYOTTE,Mayotte,Mayotte,2021-05-09 06:56:58,2021-05-09 06:56:58
6,11,75056,1,ILE DE FRANCE,Île-de-France,Île-de-France,2021-05-09 06:56:58,2021-05-09 06:56:58
7,24,45234,2,CENTRE VAL DE LOIRE,Centre-Val de Loire,Centre-Val de Loire,2021-05-09 06:56:58,2021-05-09 06:56:58
8,27,21231,0,BOURGOGNE FRANCHE COMTE,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,2021-05-09 06:56:58,2021-05-09 06:56:58
9,28,76540,0,NORMANDIE,Normandie,Normandie,2021-05-09 06:56:58,2021-05-09 06:56:58
10,32,59350,4,HAUTS DE FRANCE,Hauts-de-France,Hauts-de-France,2021-05-09 06:56:58,2021-05-09 06:56:58
11,44,67482,2,GRAND EST,Grand Est,Grand Est,2021-05-09 06:56:58,2021-05-09 06:56:58
12,52,44109,4,PAYS DE LA LOIRE,Pays de la Loire,Pays de la Loire,2021-05-09 06:56:58,2021-05-09 06:56:58
13,53,35238,0,BRETAGNE,Bretagne,Bretagne,2021-05-09 06:56:58,2021-05-09 06:56:58
14,75,33063,3,NOUVELLE AQUITAINE,Nouvelle-Aquitaine,Nouvelle-Aquitaine,2021-05-09 06:56:58,2021-05-09 06:56:58
15,76,31555,1,OCCITANIE,Occitanie,Occitanie,2021-05-09 06:56:58,2021-05-09 06:56:58
16,84,69123,1,AUVERGNE RHONE ALPES,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,2021-05-09 06:56:58,2021-05-09 06:56:58
17,93,13055,0,PROVENCE ALPES COTE D AZUR,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,2021-05-09 06:56:58,2021-05-09 06:56:58
18,94,2A004,0,CORSE,Corse,Corse,2021-05-09 06:56:58,2021-05-09 06:56:58
